method,prediction_file,f1,ap50_95,ap50,ap_s,ap_m,ap_l
Historical Raw Equal-Weight WBF,,0.5719,0.6360,0.8739,0.4983,0.7426,0.6268
Historical Day/Night Thresholding,,0.6377,0.6033,0.8080,0.4531,0.7284,0.6203
Best Recorded YOLO-Only Stage (IoU=0.6575),,0.6425,,,,,
Selected YOLO-Transformer Setting,,0.6562,0.6050,0.8060,0.4532,0.7325,0.6196
Same-Model Multi-Scale YOLO,,0.6596,0.6123,0.8170,0.4665,0.7362,0.6214
Final Scene-Specific Thresholding (MSDNL),FINAL_MSDN_L_EC2.json,0.6604,0.6147,0.8220,0.4709,0.7378,0.6214
